Serial No,River Name,Zone,Border River,Flow Type
1,Abua (Nandiagang),NE,No,PERENNIAL
2,Afra,SE,No,PERENNIAL
3,Akhira Machcha,NW,No,SEASONAL
4,Alai,NW,No,SEASONAL
5,Alai Kumari (Burail),NW,No,SEASONAL
6,Amari Khal,NE,No,SEASONAL
7,Andhar Manik,SW,No,PERENNIAL
8,Arial Khan,SW,No,PERENNIAL
9,Arial Khan (Narsingdi),NC,No,PERENNIAL
10,Arpangasia,SW,No,PERENNIAL
